%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
631607000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5070.75038697,631606000000,631606000000,631606000000
631707000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5009.50958406,631707000000,631707000000,631707000000
631807000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5077.3518049,631807000000,631807000000,631807000000
631907000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5086.46826001,631907000000,631907000000,631907000000
632008000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5074.30522815,632008000000,632008000000,632008000000
632108000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5100.23640459,632108000000,632108000000,632108000000
632208000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5110.44594328,632208000000,632208000000,632208000000
632309000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5077.65328191,632309000000,632309000000,632309000000
632409000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5088.73300605,632409000000,632409000000,632409000000
632509000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5003.59633287,632509000000,632509000000,632509000000
632610000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5066.95580561,632609000000,632609000000,632609000000
632710000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5074.47182292,632710000000,632710000000,632710000000
632810000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5056.12832216,632810000000,632810000000,632810000000
632910000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5061.54091594,632909000000,632909000000,632909000000
633010000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5026.98165078,633010000000,633010000000,633010000000
633111000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5077.68596006,633111000000,633111000000,633111000000
633211000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5097.51795627,633211000000,633211000000,633211000000
633312000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5020.05159192,633312000000,633312000000,633312000000
633412000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5035.12125415,633412000000,633412000000,633412000000
633513000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5067.20237779,633512000000,633512000000,633512000000
633613000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5091.53953264,633613000000,633613000000,633613000000
633713000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5009.45278955,633713000000,633713000000,633713000000
633813000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5081.2362706,633813000000,633813000000,633813000000
633913000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5120.57205055,633913000000,633913000000,633913000000
634014000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5128.21472241,634013000000,634013000000,634013000000
634114000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5036.23015585,634114000000,634114000000,634114000000
634215000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5143.56704964,634214000000,634214000000,634214000000
634315000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,4988.86120283,634315000000,634315000000,634315000000
634415000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5039.96870383,634415000000,634415000000,634415000000
634516000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5088.55520504,634515000000,634515000000,634515000000
634616000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,4989.00247014,634616000000,634616000000,634616000000
634716000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5020.70600707,634716000000,634716000000,634716000000
634816000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5020.03276262,634816000000,634816000000,634816000000
634917000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5034.29409667,634916000000,634916000000,634916000000
635017000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5075.86655089,635017000000,635017000000,635017000000
635117000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,4994.12194468,635117000000,635117000000,635117000000
635218000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5070.90945657,635218000000,635218000000,635218000000
635318000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5070.02494708,635318000000,635318000000,635318000000
635418000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5033.7533934,635418000000,635418000000,635418000000
635519000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5041.01038564,635518000000,635518000000,635518000000
635619000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5039.38201074,635619000000,635619000000,635619000000
635719000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5080.03692502,635719000000,635719000000,635719000000
635820000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5058.59496903,635820000000,635820000000,635820000000
635920000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5006.96288569,635920000000,635920000000,635920000000
636020000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5038.88088208,636020000000,636020000000,636020000000
636120000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5090.12454477,636120000000,636120000000,636120000000
636220000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5072.42432226,636220000000,636220000000,636220000000
636321000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5088.71492197,636321000000,636321000000,636321000000
636421000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5055.65686451,636420000000,636420000000,636420000000
636521000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5076.41596892,636521000000,636521000000,636521000000
636621000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5050.44134451,636621000000,636621000000,636621000000
636722000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5122.42865638,636722000000,636722000000,636722000000
636822000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5095.86957539,636822000000,636822000000,636822000000
636923000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5018.12571566,636922000000,636922000000,636922000000
637023000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5012.18245162,637023000000,637023000000,637023000000
637123000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5074.06696119,637123000000,637123000000,637123000000
637224000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5000.03209811,637223000000,637223000000,637223000000
637324000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5026.15277065,637324000000,637324000000,637324000000
637424000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5040.79929775,637424000000,637424000000,637424000000
637524000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5019.50152613,637524000000,637524000000,637524000000
637624000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5024.27342097,637624000000,637624000000,637624000000
637724000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,4987.20339157,637724000000,637724000000,637724000000
637825000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5070.98285516,637825000000,637825000000,637825000000
637925000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5083.61977342,637924000000,637924000000,637924000000
638026000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5085.85947575,638026000000,638026000000,638026000000
638126000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5002.06512494,638126000000,638126000000,638126000000
638227000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5056.07157345,638226000000,638226000000,638226000000
638327000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5032.26606947,638327000000,638327000000,638327000000
638428000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5033.54539086,638427000000,638427000000,638427000000
638528000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5084.42765986,638528000000,638528000000,638528000000
638628000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5136.29378783,638628000000,638628000000,638628000000
638727000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5037.90800328,638727000000,638727000000,638727000000
638828000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5048.6966496,638828000000,638828000000,638828000000
638929000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,5028.01622328,638929000000,638929000000,638929000000
