%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
272184000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9901.35011388,272184000000,272184000000,272184000000
272284000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10004.5714314,272283000000,272283000000,272283000000
272384000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10001.2059981,272384000000,272384000000,272384000000
272485000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9959.84488828,272484000000,272484000000,272484000000
272585000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10056.1505865,272585000000,272585000000,272585000000
272685000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9964.45808766,272685000000,272685000000,272685000000
272786000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9940.41941891,272786000000,272786000000,272786000000
272886000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10109.2686596,272886000000,272886000000,272886000000
272986000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10014.4500573,272986000000,272986000000,272986000000
273087000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9994.63089098,273086000000,273086000000,273086000000
273187000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10079.1481681,273187000000,273187000000,273187000000
273287000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10089.0675958,273287000000,273287000000,273287000000
273388000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9967.46740945,273387000000,273387000000,273387000000
273488000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10057.044647,273488000000,273488000000,273488000000
273587000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10061.3019767,273587000000,273587000000,273587000000
273687000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10016.0267121,273687000000,273687000000,273687000000
273788000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10093.1177729,273788000000,273788000000,273788000000
273889000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9929.49129914,273889000000,273889000000,273889000000
273989000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,10018.0740227,273989000000,273989000000,273989000000
274090000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,9920.19132902,274089000000,274089000000,274089000000
