%time,field.destination_id0,field.destination_id1,field.destination_id2,field.destination_id3,field.destination_id4,field.destination_id5,field.destination_id6,field.destination_id7,field.destination_id8,field.destination_id9,field.distance0,field.stamp0,field.stamp1,field.stamp2
583751000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29989.0511454,583750000000,583750000000,583750000000
583851000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29753.1418972,583851000000,583851000000,583851000000
583952000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29817.3928575,583951000000,583951000000,583951000000
584052000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29765.2056817,584052000000,584052000000,584052000000
584152000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30032.1949493,584152000000,584152000000,584152000000
584252000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30298.0727692,584252000000,584252000000,584252000000
584353000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30352.6669226,584352000000,584352000000,584352000000
584453000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30204.9688925,584453000000,584453000000,584453000000
584553000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30122.6055029,584553000000,584553000000,584553000000
584654000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29994.2723849,584653000000,584653000000,584653000000
584754000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30130.8847558,584754000000,584754000000,584754000000
584854000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30096.5734779,584854000000,584854000000,584854000000
584955000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30023.9734427,584954000000,584954000000,584954000000
585055000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29799.6017263,585055000000,585055000000,585055000000
585155000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29844.878452,585155000000,585155000000,585155000000
585256000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30129.5242802,585256000000,585256000000,585256000000
585356000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29325.768333,585356000000,585356000000,585356000000
585456000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29745.6512358,585456000000,585456000000,585456000000
585557000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30256.9916447,585556000000,585556000000,585556000000
585657000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29674.4673576,585657000000,585657000000,585657000000
585758000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29897.328897,585757000000,585757000000,585757000000
585858000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30190.5653613,585858000000,585858000000,585858000000
585958000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29720.3726722,585958000000,585958000000,585958000000
586058000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30014.5520879,586058000000,586058000000,586058000000
586159000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29806.434706,586158000000,586158000000,586158000000
586259000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29970.7998337,586259000000,586259000000,586259000000
586359000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30105.6948488,586359000000,586359000000,586359000000
586460000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30049.4508895,586459000000,586459000000,586459000000
586560000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30157.9712682,586560000000,586560000000,586560000000
586660000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29866.3253497,586660000000,586660000000,586660000000
586761000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30158.4743704,586760000000,586760000000,586760000000
586861000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30082.406153,586861000000,586861000000,586861000000
586961000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29987.958137,586961000000,586961000000,586961000000
587062000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30242.2433031,587061000000,587061000000,587061000000
587162000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29906.942568,587162000000,587162000000,587162000000
587262000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29433.9933033,587262000000,587262000000,587262000000
587362000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29696.4313633,587362000000,587362000000,587362000000
587463000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30237.4004717,587463000000,587463000000,587463000000
587563000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29575.70894,587563000000,587563000000,587563000000
587663000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29951.3554415,587663000000,587663000000,587663000000
587764000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29957.8478684,587763000000,587763000000,587763000000
587864000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29548.2363095,587864000000,587864000000,587864000000
587965000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29360.044223,587964000000,587964000000,587964000000
588065000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29770.1106066,588065000000,588065000000,588065000000
588165000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29772.3089871,588164000000,588164000000,588164000000
588265000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29718.1487741,588265000000,588265000000,588265000000
588365000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30108.0052916,588365000000,588365000000,588365000000
588466000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30288.1520002,588465000000,588465000000,588465000000
588566000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29793.1693777,588566000000,588566000000,588566000000
588666000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30238.8891963,588666000000,588666000000,588666000000
588767000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29444.9491033,588767000000,588767000000,588767000000
588867000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30091.7813132,588867000000,588867000000,588867000000
588967000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29778.7158347,588967000000,588967000000,588967000000
589068000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29989.374873,589068000000,589068000000,589068000000
589168000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30034.6797667,589168000000,589168000000,589168000000
589268000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29722.1676177,589268000000,589268000000,589268000000
589369000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29817.6908576,589368000000,589368000000,589368000000
589469000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30011.0280975,589469000000,589469000000,589469000000
589569000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29721.2763307,589569000000,589569000000,589569000000
589669000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29791.7539354,589669000000,589669000000,589669000000
589770000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30048.5454525,589770000000,589770000000,589770000000
589870000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30144.6762473,589870000000,589870000000,589870000000
589970000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29979.1662194,589970000000,589970000000,589970000000
590070000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30183.2455295,590070000000,590070000000,590070000000
590171000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30049.2117616,590171000000,590171000000,590171000000
590271000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30044.6016661,590271000000,590271000000,590271000000
590371000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30232.0728324,590371000000,590371000000,590371000000
590472000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,30163.5494228,590471000000,590471000000,590471000000
590572000000,28209,28210,28211,28212,28213,28214,28215,28216,28217,28224,29968.4368465,590572000000,590572000000,590572000000
